RegionID,RegionName,State,Metro,CountyName,SizeRank,2018-03
10700,Canton,Michigan,Detroit,Wayne,357,260669
17943,Elgin,Illinois,Chicago,Kane,358,181957
46508,Meridian,Idaho,Boise City,Ada,359,275850
26964,Santa Monica,California,Los Angeles-Long Beach-Anaheim,Los Angeles,360,1762198
52747,Kennewick,Washington,Kennewick,Benton,361,236722
41802,Yakima,Washington,Yakima,Yakima,362,208656
12886,Muncie,Indiana,Muncie,Delaware,363,79676
54902,Valdosta,Georgia,Valdosta,Lowndes,364,118709
33450,Plantation,Florida,Miami-Fort Lauderdale,Broward,365,310665
39452,Lithonia,Georgia,Atlanta,Dekalb,366,127724
397180,Kalamazoo,Michigan,Kalamazoo,Kalamazoo,367,97526
44571,Cheyenne,Wyoming,Cheyenne,Laramie,368,238569
46348,Lynchburg,Virginia,Lynchburg,Lynchburg City,369,142578
32777,McDonough,Georgia,Atlanta,Henry,370,180214
20776,Terre Haute,Indiana,Terre Haute,Vigo,371,82934
32540,Livermore,California,San Francisco,Alameda,372,805880
23862,Bryan,Texas,College Station,Brazos,373,170109
45127,Elkhart,Indiana,Elkhart,Elkhart,374,126743
54294,San Angelo,Texas,San Angelo,Tom Green,375,129851
24339,Decatur,Illinois,Decatur,Macon,376,63888
51758,Duluth,Minnesota,Duluth,Saint Louis,377,163080
54628,Sunrise,Florida,Miami-Fort Lauderdale,Broward,378,217631
26319,Orem,Utah,Provo,Utah,379,282104
3404,Anderson,South Carolina,Greenville,Anderson,380,136507
5924,Miami Beach,Florida,Miami-Fort Lauderdale,Miami-Dade,381,380924
31525,Fall River,Massachusetts,Providence,Bristol,382,238028
17551,Concord,North Carolina,Charlotte,Cabarrus,383,184044
31567,Flagstaff,Arizona,Flagstaff,Coconino,384,353974
23444,Allen,Texas,Dallas-Fort Worth,Collin,385,315378
45339,Franklin,Tennessee,Nashville,Williamson,386,445817
38968,Herndon,Virginia,Washington,Fairfax,387,510743
53311,Midlothian,Virginia,Richmond,Chesterfield,388,290777
32921,Monroe,Louisiana,Monroe,Ouachita,389,92439
34311,Toms River,New Jersey,New York,Ocean,390,262203
41279,Trenton,New Jersey,Trenton,Mercer,391,46720
13234,Pearland,Texas,Houston,Brazoria,392,253282
10451,Bloomington,Minnesota,Minneapolis-St Paul,Hennepin,393,260411
33031,Nashua,New Hampshire,Manchester,Hillsborough,394,266884
38328,Edmond,Oklahoma,Oklahoma City,Oklahoma,395,225677
17386,Chapel Hill,North Carolina,Durham,Orange,396,363294
39558,Lynn,Massachusetts,Boston,Essex,397,334368
41715,Williamsburg,Virginia,Virginia Beach,James City,398,301762
6696,Reading,Pennsylvania,Reading,Berks,399,47364
44597,Cicero,Illinois,Chicago,Cook,400,163798
397329,Holland,Michigan,Grand Rapids,Ottawa,401,186794
7883,Westland,Michigan,Detroit,Wayne,402,129949
54428,Sioux City,Iowa,Sioux City,Woodbury,403,108022
30552,Bowie,Maryland,Washington,Prince Georges,404,345883
32287,Kennesaw,Georgia,Atlanta,Cobb,405,223174
30543,Boulder,Colorado,Boulder,Boulder,406,702825
24120,Clifton,New Jersey,New York,Passaic,407,335194
51414,Citrus Heights,California,Sacramento,Sacramento,408,329458
10608,Buena Park,California,Los Angeles-Long Beach-Anaheim,Orange,409,580618
398360, Poughkeepsie,New York,New York,Dutchess,410,213291
50741,Apopka,Florida,Orlando,Orange,411,228990
7476,Troy,Michigan,Detroit,Oakland,412,306271
31732,Germantown,Maryland,Washington,Montgomery,413,297918
54944,Victoria,Texas,Victoria,Victoria,414,149341
26751,Richmond,California,San Francisco,Contra Costa,415,499643
42150,Hawthorne,California,Los Angeles-Long Beach-Anaheim,Los Angeles,416,611375
737787,San Tan Valley,Arizona,Phoenix,Pinal,417,205522
52696,Johnson City,Tennessee,Johnson City,Washington,418,144075
44583,Chino,California,Riverside,San Bernardino,419,484131
53812,Parma,Ohio,Cleveland,Cuyahoga,420,115771
31892,Gulfport,Mississippi,Gulfport,Harrison,421,94148
41109,Suffolk,Virginia,Virginia Beach,Suffolk City,422,230386
53100,Macomb,Michigan,Detroit,Macomb,423,288763
17453,Spokane Valley,Washington,Spokane,Spokane,424,220713
32489,Lexington,South Carolina,Columbia,Lexington,425,155556
45243,Farmington Hills,Michigan,Detroit,Oakland,426,257994
13712,Santa Barbara,California,Santa Maria-Santa Barbara,Santa Barbara,427,1115076
46863,Ogden,Utah,Ogden,Weber,428,188099
50677,Alhambra,California,Los Angeles-Long Beach-Anaheim,Los Angeles,429,658701
32471,Leesburg,Virginia,Washington,Loudoun,430,520217
5399,Kent,Washington,Seattle,King,431,405676
16425,Acworth,Georgia,Atlanta,Cobb,432,203509
46325,Loveland,Colorado,Fort Collins,Larimer,433,332646
41059,Sterling,Virginia,Washington,Loudoun,434,412252
44641,Cleveland,Tennessee,Cleveland,Bradley,435,137537
11140,Douglasville,Georgia,Atlanta,Douglas,436,150270
20128,Redwood City,California,San Francisco,San Mateo,437,1668140
6665,Quincy,Massachusetts,Boston,Norfolk,438,445856
31166,Danbury,Connecticut,Stamford,Fairfield,439,273809
396020,Arden-Arcade,California,Sacramento,Sacramento,440,361552
33334,Parker,Colorado,Denver,Douglas,441,471675
25066,Hattiesburg,Mississippi,Hattiesburg,Forrest,442,144036
54897,Utica,Michigan,Detroit,Macomb,443,175768
45449,Glen Burnie,Maryland,Baltimore,Anne Arundel,444,244537
39398,Lees Summit,Missouri,Kansas City,Jackson,445,217352
38130,Dalton,Georgia,Dalton,Whitfield,446,109900
48573,Woodstock,Georgia,Atlanta,Cherokee,447,235847
16818,Ashburn,Virginia,Washington,Loudoun,448,528812
39133,Jackson,Tennessee,Jackson,Madison,449,103807
7784,Watsonville,California,Santa Cruz,Santa Cruz,450,578284
40574,Rio Rancho,New Mexico,Albuquerque,Sandoval,451,179650
33287,Owensboro,Kentucky,Owensboro,Daviess,452,120121
